SMILES,gap_pubchemqc,DFT_gap,RE,AE                                                      
CC(O)=NC(CC(=O)O)C(=O)O,6.781,6.45535628079451,4.8022964047411,0.325643719205494        
O=C1CC=CC=C1C(O)=C(O)O,2.58,2.82318093888813,9.42561778636144,0.243180938888125         
C=C1C(=O)OC2C(OC=O)CCCC12,5.973,5.96800041944042,0.0837030061875058,0.00499958055957972 
O=C1C=CC(=O)C(c2cccc3cccnc23)=C1,3.099,3.36822493123443,8.68747761324395,0.2692249312344
Cc1ccc(C)c2c1CC(C(=O)O)CC2C,6.234,6.24827765963847,0.229028868117901,0.0142776596384699 
CC(=O)OCCOCCOCCC(C)C,7.165,7.3462569452687,2.52975499328255,0.181256945268695           
COc1ccc2c(c1CC=O)OC(=O)N(C)C2,5.64092,5.61534090167666,0.453456144092456,0.0255790983233
CC(O)C(C)OC(=O)C(C)(C)C,7.483,7.38571344995677,1.30010089594052,0.0972865500432292      
CC(C)(C)CCCCOCOC(C)(C)C,9.165,8.58464696482338,6.33227534289819,0.58035303517662        
CCCC1CC1CCC,9.551,9.63065250979552,0.833970367453887,0.0796525097955207                 
CCOC(=O)C1=C([NH])NC(OC)=N[CH]1,4.452,4.53695381147776,1.90821678970698,0.08495381147775
CCCSC(C(=N)O)c1ccccn1,4.689,4.87981723152585,4.06946537696427,0.190817231525855         
CC(C)COCCCN,8.509,8.61539582709754,1.25039166879227,0.106395827097534                   
Cc1ccc2c(c1)CCCC2,6.139,6.13480619443208,0.0683141483617062,0.00419380556792515         
CC1(C)[C]2[CH]CCC1C2,4.667,4.83491845032908,3.59799550737262,0.16791845032908           
CC1(C)CCC2(CC1)CC(=O)OC(=O)C2,6.618,6.68039441442925,0.942798646558619,0.062394414429249
CCCCn1ccnc1,6.885,6.8961806779992,0.162391837315973,0.0111806779992047                  
C#CCCC(C)(C)C,8.547,8.55689135462901,0.115728964888385,0.00989135462901025              
CCOC(=S)SC(=O)c1ccco1,3.848,4.14810315493114,7.79893853771156,0.300103154931141         
CCCCOP(=O)(C(C)C)C(C)C,8.357,8.41185468567216,0.656392074574083,0.0548546856721561      
CCC1=CC(C)(C)CC(C)=C1,5.059,5.15329162608803,1.86383921897668,0.0942916260880304        
Cn1nccc1CNc1ccc(C#N)cc1,5.06676,5.08635162503102,0.386669686960108,0.01959162503102     
COC(=O)c1cc(OC)cc(OC)c1,4.819,4.85287796280779,0.703008151230345,0.0338779628077903     
OC=NN(c1ccccc1)c1ccccc1,4.343,4.28171104321973,1.41121245176778,0.0612889567802748      
CC(C)C1(C)CCCC1C,9.774,9.73922592614409,0.355781398157499,0.0347740738559139            
O=S1Oc2ccccc2O1,5.148,5.53969325820573,7.60864914929545,0.39169325820573                
CCOC(=O)Cn1ccnc1[N+](=O)[O-],4.667,4.7230796680753,1.20162134294611,0.0560796680752951  
CC(C)CC(=O)OC(C)C,7.529,7.7397335368477,2.79895785426623,0.210733536847704              
CC(C)(O)C1CCCN1,7.859,7.55660093232995,3.84780592530919,0.302399067670049               
C=C(C)C(=O)OCC1CO1,6.104,6.24065847252629,2.23883473994577,0.13665847252629             
O=C(O)CSCSCC(=O)O,6.21,6.42542375999666,3.46898164245822,0.215423759996655              
CN(C)S(N)(=O)=O,8.046,8.08613443662646,0.498812287179462,0.0401344366264595             
CC(O)=Nc1nnc(-c2ccccc2C)s1,4.509,4.37286917474045,3.01909126767689,0.136130825259551    
O=C1CSC(=O)CS1,5.573,5.77479960338157,3.62102284912203,0.201799603381571                
CP1(=O)CCCO1,8.719,8.74764314625895,0.328514121561497,0.0286431462589469                
CCOS([O])([O])CCC(C)(C)C,8.999,9.23064518640607,2.57412141800277,0.23164518640607       
COc1cccc2nc3ccccc3nc12,3.423,3.42155924101969,0.0420905340435108,0.00144075898030938    
O=C(O)c1cccnc1,5.54,5.6281302514721,1.59079876303437,0.0881302514721041                 
CCCCCSC#N,6.471,6.415627662281,0.855699856575554,0.0553723377190041                     
CC(C)(O)COC1CCNCC1,8.041,7.401496051832,7.95304002198731,0.639503948168                 
Cc1ccc2c(c1)CC=C2,5.173,5.18757796809284,0.281808778133397,0.0145779680928406           
CC(C)C(O)CCO,8.776,8.69240403969564,0.952551963358699,0.0835959603043595                
CCC(C)C(=O)c1ccccc1,5.135,5.1366926827365,0.0329636365432355,0.00169268273649514        
c1cnc2c(n1)[N]C[N]2,3.619,3.57965737359742,1.08711319156054,0.039342626402576           
NCCCCNCCCCN,7.685,8.13865240493541,5.90308919889934,0.453652404935414                   
CC1(O)CCC(C)(O)CC1,8.495,8.52151655732246,0.31214311150631,0.0265165573224611           
